x_position,y_position,z_position
-16.3437652,65.70689453,34.31462348
-16.26320885,65.46904876,34.42444748
-16.20603912,65.20633762,34.53604526
-16.11775304,64.84036927,34.71975036
-16.05699138,64.35873111,34.83496453
-15.9964172,63.84664203,34.93243438
-15.93079805,63.22762284,35.06000964
-15.89513186,62.63043682,35.12251513
-15.85318317,62.00934044,35.22591697
-15.75425088,61.38496072,35.36988906
-15.75439558,60.76923693,35.48803684
-15.70460252,60.11729635,35.58914014
-15.73600612,59.52484278,35.64009749
-15.73313994,58.90499597,35.7331349
-15.70316214,58.28133768,35.82550812
-15.74042537,57.71227004,35.82844657
-15.75276676,57.14025111,35.8305992
-15.7836998,56.62895613,35.86676815
-15.73955231,56.13530444,35.90276627
-15.73318619,55.72421715,35.88996905
-15.76350879,55.32360797,35.93574019
-15.81459673,54.92777255,36.00026858
-15.83463697,54.6578129,35.99592626
-15.87757486,54.44691296,36.00741832
-15.83416433,54.38342126,35.9715894
-15.81065618,54.43450255,35.96925818
-15.81372218,54.51605903,35.96423689
-15.82754718,54.62231404,35.91633389
-15.87363725,54.78495144,35.84341676
-15.93001014,54.97221062,35.7275556
-16.04316207,55.21870898,35.58556276
-16.15789465,55.54630576,35.43806824
-16.30400845,55.98354757,35.26137495
